date,Unnamed: 0,Date,Region,Place,Trigger,Number Killed,Unnamed: 5,Coordinates,date,year,month,latitude,longitude
2016-01-31,0,01/31/2016,Salt Lake,Pointy Peak,Skier,1,Details,"40.681035109898, -111.598269411350",2016-01-31,2016,1,40.681035109898, -111.598269411350
2016-01-21,1,01/21/2016,Salt Lake,Gobblers Knob,Skier,1,Details,"40.666951474815, -111.685399884810",2016-01-21,2016,1,40.666951474815, -111.685399884810
2015-03-04,2,03/4/2015,Ogden,Hells Canyon,Snowboarder,1,Details,"41.215552643517, -111.873779284110",2015-03-04,2015,3,41.215552643517, -111.873779284110
2014-03-07,3,03/7/2014,Uintas,Gold Hill,Snowmobiler,1,Details,"40.812120000000, -110.906296000000",2014-03-07,2014,3,40.812120000000, -110.906296000000
2014-02-09,4,02/9/2014,Skyline,Huntington Reservior,Snowmobiler,1,Details,"39.585986000000, -111.270003000000",2014-02-09,2014,2,39.585986000000, -111.270003000000
2014-02-08,5,02/8/2014,Salt Lake,Tibble Fork,Snowshoer,1,Details,"40.482366000000, -111.648088000000",2014-02-08,2014,2,40.482366000000, -111.648088000000
2013-04-11,6,04/11/2013,Salt Lake,Kessler Slabs,Skier,1,Details,"40.629000000000, -111.666412000000",2013-04-11,2013,4,40.629000000000, -111.666412000000
2013-03-01,7,03/1/2013,Skyline,White Mountain,Snowmobiler,1,Details,"39.043600000000, -111.519000000000",2013-03-01,2013,3,39.043600000000, -111.519000000000
2013-01-18,8,01/18/2013,Uintas,West Fork of Duchesne,Snowmobiler,2,Details,,2013-01-18,2013,1,nan,nan
2012-03-03,9,03/3/2012,Moab,Beaver Basin,Snowmobiler,1,Details,"38.539320000000, -109.209852000000",2012-03-03,2012,3,38.539320000000, -109.209852000000
2012-02-23,10,02/23/2012,Salt Lake,Dutch Draw,Snowboarder,1,Details,"40.653034000000, -111.592255000000",2012-02-23,2012,2,40.653034000000, -111.592255000000
2012-02-05,11,02/5/2012,Skyline,Lost Creek Reservoir,Snowmobiler,1,Details,"38.716456000000, -111.721988000000",2012-02-05,2012,2,38.716456000000, -111.721988000000
2012-01-28,12,01/28/2012,Salt Lake,Kessler Peak,Snowboarder,1,Details,"40.624442000000, -111.669588000000",2012-01-28,2012,1,40.624442000000, -111.669588000000
2011-11-13,13,11/13/2011,Salt Lake,Gad Valley,Snowboarder,1,Details,"40.568491000000, -111.652937000000",2011-11-13,2011,11,40.568491000000, -111.652937000000
2011-03-26,14,03/26/2011,Skyline,Horseshoe Mountain,Skier,1,Details,"39.372824000000, -111.422482000000",2011-03-26,2011,3,39.372824000000, -111.422482000000
2010-11-26,15,11/26/2010,Uintas,Cherry Hill,Snowmobiler,1,Details,"40.847320000000, -111.015129000000",2010-11-26,2010,11,40.847320000000, -111.015129000000
2010-04-04,16,04/4/2010,Ogden,Francis Peak,Snowmobiler,1,Details,"41.050424000000, -111.844082000000",2010-04-04,2010,4,41.050424000000, -111.844082000000
2010-01-29,17,01/29/2010,Salt Lake,Grandview Peak,Snowmobiler,1,Details,"40.856199868806, -111.754991041400",2010-01-29,2010,1,40.856199868806, -111.754991041400
2010-01-27,18,01/27/2010,Salt Lake,Meadows,Skier,1,Details,"40.617112000000, -111.623840000000",2010-01-27,2010,1,40.617112000000, -111.623840000000
2010-01-24,19,01/24/2010,Ogden,Hells Canyon,Skier,1,Details,"41.215563000000, -111.873307000000",2010-01-24,2010,1,41.215563000000, -111.873307000000
2008-12-30,20,12/30/2008,Uintas,Yamaha Hill,Snowmobiler,1,Details,"40.871988000000, -110.974016000000",2008-12-30,2008,12,40.871988000000, -110.974016000000
2008-12-24,21,12/24/2008,Logan,Logan Peak,Snowmobiler,2,Details,"41.711752000000, -111.717181000000",2008-12-24,2008,12,41.711752000000, -111.717181000000
2008-12-14,22,12/14/2008,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.569632000000, -111.641693000000",2008-12-14,2008,12,40.569632000000, -111.641693000000
2007-12-31,23,12/31/2007,Uintas,Co-op Creek,Snowmobiler,1,Details,"0.000000000000, 0.000000000000",2007-12-31,2007,12,0.000000000000, 0.000000000000
2007-12-25,24,12/25/2007,Uintas,Super Bowl,Snowmobiler,1,Details,"40.834820000000, -111.008220000000",2007-12-25,2007,12,40.834820000000, -111.008220000000
2007-12-23,25,12/23/2007,Salt Lake,Canyons Ski Resort,Skier,1,Details,"40.660164000000, -111.596117000000",2007-12-23,2007,12,40.660164000000, -111.596117000000
2007-02-21,26,02/21/2007,Salt Lake,Gobblers Knob,Skier,1,Details,"40.666707000000, -111.683493000000",2007-02-21,2007,2,40.666707000000, -111.683493000000
2007-02-18,27,02/18/2007,Ogden,Hells Canyon,Skier,1,Details,"41.211302000000, -111.878414000000",2007-02-18,2007,2,41.211302000000, -111.878414000000
2007-02-17,28,02/17/2007,Uintas,Buck Basin,Snowmobiler,1,Details,"40.393071000000, -111.140785000000",2007-02-17,2007,2,40.393071000000, -111.140785000000
2007-02-17,29,02/17/2007,None,Signal Mountain,Snowmobiler,1,Details,"38.628762622838, -112.023038851360",2007-02-17,2007,2,38.628762622838, -112.023038851360
2006-04-03,30,04/3/2006,Salt Lake,Pioneer Peak,Snowboarder,1,Details,"40.581465000000, -111.584144000000",2006-04-03,2006,4,40.581465000000, -111.584144000000
2006-03-11,31,03/11/2006,Ogden,Taylor Canyon,Snowboarder,1,Details,"41.204845000000, -111.888671000000",2006-03-11,2006,3,41.204845000000, -111.888671000000
2005-12-31,32,12/31/2005,Provo,American Fork,Unknown,1,Details,"40.388920000000, -111.640491000000",2005-12-31,2005,12,40.388920000000, -111.640491000000
2005-03-31,33,03/31/2005,Ogden,Whiskey Hill,Snowmobiler,1,Details,"41.603891000000, -111.436043000000",2005-03-31,2005,3,41.603891000000, -111.436043000000
2005-01-14,34,01/14/2005,Salt Lake,Dutch Draw,Snowboarder,1,Details,"40.651471000000, -111.592426000000",2005-01-14,2005,1,40.651471000000, -111.592426000000
2005-01-08,35,01/8/2005,Skyline,Ephraim Canyon,Snowboarder,1,Details,"39.311399000000, -111.472757000000",2005-01-08,2005,1,39.311399000000, -111.472757000000
2005-01-08,36,01/8/2005,Skyline,Choke Cherry Ridge,Snowmobiler,1,Details,"39.573416688873, -111.324640262490",2005-01-08,2005,1,39.573416688873, -111.324640262490
2004-12-11,37,12/11/2004,Salt Lake,Mineral Fork,Unknown,2,Details,"40.607425000000, -111.683214000000",2004-12-11,2004,12,40.607425000000, -111.683214000000
2004-12-11,38,12/11/2004,Uintas,Trout Creek,Snowmobiler,1,Details,"40.289733000000, -111.116167000000",2004-12-11,2004,12,40.289733000000, -111.116167000000
2004-12-10,39,12/10/2004,Salt Lake,Twin Lakes Pass,Skier,1,Details,"40.593686000000, -111.608391000000",2004-12-10,2004,12,40.593686000000, -111.608391000000
2004-02-26,40,02/26/2004,Salt Lake,Daly Canyon,Snowshoer,1,Details,,2004-02-26,2004,2,nan,nan
2003-12-26,41,12/26/2003,Provo,Aspen Grove,Natural,3,Details,"40.402883420812, -111.611969936080",2003-12-26,2003,12,40.402883420812, -111.611969936080
2003-02-15,42,02/15/2003,Salt Lake,Gobblers Knob,Skier,1,Details,"40.669644000000, -111.684778000000",2003-02-15,2003,2,40.669644000000, -111.684778000000
2002-03-16,43,03/16/2002,Salt Lake,Pioneer Peak,Snowboarder,2,Details,"40.582080704460, -111.586333738550",2002-03-16,2002,3,40.582080704460, -111.586333738550
2002-01-31,44,01/31/2002,Uintas,Windy Ridge,Skier,1,Details,"40.811451136089, -111.108642958010",2002-01-31,2002,1,40.811451136089, -111.108642958010
2001-04-28,45,04/28/2001,Salt Lake,Stairs Gulch,Natural,2,Details,"40.613918777396, -111.736453042870",2001-04-28,2001,4,40.613918777396, -111.736453042870
2001-03-10,46,03/10/2001,Uintas,Uintas,Snowmobiler,2,Details,,2001-03-10,2001,3,nan,nan
2001-02-28,47,02/28/2001,Salt Lake,Red Cliffs,Skier,1,Details,"40.666813894744, -111.605044113550",2001-02-28,2001,2,40.666813894744, -111.605044113550
2000-12-14,48,12/14/2000,Ogden,Willard Peak,Snowmobiler,1,Details,"41.413334480493, -111.969481931910",2000-12-14,2000,12,41.413334480493, -111.969481931910
2000-01-11,49,01/11/2000,Salt Lake,Squaretop,Skier,2,Details,"40.664924561855, -111.600946485130",2000-01-11,2000,1,40.664924561855, -111.600946485130
1999-02-06,50,02/6/1999,Salt Lake,Little Willow Canyon,Hiker,1,Details,"40.522533208467, -111.795245634310",1999-02-06,1999,2,40.522533208467, -111.795245634310
1999-01-29,51,01/29/1999,Provo,Mt Nebo,Snowmobiler,1,Details,"39.844940161503, -111.746536718600",1999-01-29,1999,1,39.844940161503, -111.746536718600
1999-01-02,52,01/2/1999,Skyline,Big Drift/Skyline Summit,Snowboarder,2,Details,"39.621422708455, -111.313136087290",1999-01-02,1999,1,39.621422708455, -111.313136087290
1998-11-07,53,11/7/1998,Salt Lake,Snowbird Ski Resort,Snowboarder,1,Details,"40.570794000000, -111.641004000000",1998-11-07,1998,11,40.570794000000, -111.641004000000
1998-02-26,54,02/26/1998,Ogden,Ogden,Hiker,1,Details,,1998-02-26,1998,2,nan,nan
1998-01-17,55,01/17/1998,Uintas,Coalville,Snowmobiler,1,Details,,1998-01-17,1998,1,nan,nan
1998-01-17,56,01/17/1998,Skyline,Pleasant Creek,Snowmobiler,1,Details,"39.504216201765, -111.313821302640",1998-01-17,1998,1,39.504216201765, -111.313821302640
1997-01-25,57,01/25/1997,Provo,The Fang,Natural,1,Details,"40.337552198325, -111.591485010020",1997-01-25,1997,1,40.337552198325, -111.591485010020
1997-01-11,58,01/11/1997,Logan,Logan,Natural,3,Details,,1997-01-11,1997,1,nan,nan
1996-12-26,59,12/26/1996,Salt Lake,Flagstaff Gully,Snowboarder,1,Details,"40.597990000000, -111.640146000000",1996-12-26,1996,12,40.597990000000, -111.640146000000
1996-12-07,60,12/7/1996,Ogden,Bountiful Peak,Snowmobiler,1,Details,,1996-12-07,1996,12,nan,nan
1996-03-27,61,03/27/1996,Salt Lake,Maybird Gulch,Skier,1,Details,,1996-03-27,1996,3,nan,nan
1996-02-02,62,02/2/1996,Salt Lake,Solitude,,1,Details,"40.606126845988, -111.614786611780",1996-02-02,1996,2,40.606126845988, -111.614786611780
1995-02-12,63,02/12/1995,Salt Lake,Gobblers Knob,Skier,1,Details,,1995-02-12,1995,2,nan,nan
1995-01-23,64,01/23/1995,None,Midway,Unknown,1,Details,,1995-01-23,1995,1,nan,nan
1995-01-14,65,01/14/1995,Ogden,Ben Lomond,Snowmobiler,2,Details,"41.364733019853, -111.951005446050",1995-01-14,1995,1,41.364733019853, -111.951005446050
1994-11-07,66,11/7/1994,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.564454000000, -111.646497000000",1994-11-07,1994,11,40.564454000000, -111.646497000000
1994-02-18,67,02/18/1994,Salt Lake,10420,Skier,1,Details,,1994-02-18,1994,2,nan,nan
1993-04-03,68,04/3/1993,Salt Lake,Wolverine Cirque,Skier,1,Details,"40.585286000000, -111.605041000000",1993-04-03,1993,4,40.585286000000, -111.605041000000
1993-02-25,69,02/25/1993,Salt Lake,Pinecrest,Skier,1,Details,,1993-02-25,1993,2,nan,nan
1993-01-16,70,01/16/1993,Provo,Sundance,Skier,1,Details,"40.372185694061, -111.585446285570",1993-01-16,1993,1,40.372185694061, -111.585446285570
1992-04-01,71,04/1/1992,Salt Lake,Snowbird periphery,Skier,1,Details,"40.551518000000, -111.649544000000",1992-04-01,1992,4,40.551518000000, -111.649544000000
1992-02-12,72,02/12/1992,Moab,Gold Basin,Skier,4,Details,,1992-02-12,1992,2,nan,nan
1989-11-25,73,11/25/1989,Logan,Tony Grove Lake,Skier,1,Details,,1989-11-25,1989,11,nan,nan
1987-02-15,74,02/15/1987,Salt Lake,Figure 8 Hill,Skier,1,Details,"40.591841000000, -111.604827000000",1987-02-15,1987,2,40.591841000000, -111.604827000000
1986-11-20,75,11/20/1986,Salt Lake,Alta Ski Area,Hiker,1,Details,,1986-11-20,1986,11,nan,nan
1986-02-19,76,02/19/1986,Salt Lake,Alta Ski Area,Natural,1,Details,"40.566950000000, -111.624353000000",1986-02-19,1986,2,40.566950000000, -111.624353000000
1986-02-17,77,02/17/1986,Salt Lake,Brighton Hill,Snowboarder,1,Details,"40.606262000000, -111.576839000000",1986-02-17,1986,2,40.606262000000, -111.576839000000
1986-01-06,78,01/6/1986,Provo,Water Hollow,Skier,1,Details,"40.285983000000, -111.506379000000",1986-01-06,1986,1,40.285983000000, -111.506379000000
1985-11-13,79,11/13/1985,Salt Lake,Sunset Peak,Skier,2,Details,"40.577629000000, -111.594312000000",1985-11-13,1985,11,40.577629000000, -111.594312000000
1985-03-19,80,03/19/1985,Salt Lake,Park City Ski Resort,Skier,1,Details,"40.641857000000, -111.520412000000",1985-03-19,1985,3,40.641857000000, -111.520412000000
1985-02-22,81,02/22/1985,Ogden,Powder Mountain,Skier,1,Details,"41.362519000000, -111.782882000000",1985-02-22,1985,2,41.362519000000, -111.782882000000
1984-01-02,82,01/2/1984,Salt Lake,Little Superior,Skier,1,Details,"40.593007000000, -111.659243000000",1984-01-02,1984,1,40.593007000000, -111.659243000000
1982-03-22,83,03/22/1982,Salt Lake,Murdock Peak,Skier,1,Details,"40.694668000000, -111.604312000000",1982-03-22,1982,3,40.694668000000, -111.604312000000
1981-03-01,84,03/1/1981,Salt Lake,Porter Fork,Skier,1,Details,"40.664995000000, -111.693146000000",1981-03-01,1981,3,40.664995000000, -111.693146000000
1981-02-01,85,02/1/1981,Salt Lake,Doughnut Falls,Skier,1,Details,"40.631609000000, -111.654308000000",1981-02-01,1981,2,40.631609000000, -111.654308000000
1980-01-11,86,01/11/1980,Salt Lake,Evergreen Ridge,Skier,1,Details,"40.606529000000, -111.594484000000",1980-01-11,1980,1,40.606529000000, -111.594484000000
1979-04-02,87,04/2/1979,Salt Lake,Lake Desolation,Skier,1,Details,"40.656105000000, -111.602252000000",1979-04-02,1979,4,40.656105000000, -111.602252000000
1979-01-19,88,01/19/1979,None,Helper,Natural,1,Details,"39.702192039624, -110.949728952290",1979-01-19,1979,1,39.702192039624, -110.949728952290
1977-03-03,89,03/3/1977,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.564342704045, -111.652085678840",1977-03-03,1977,3,40.564342704045, -111.652085678840
1976-01-06,90,01/6/1976,Salt Lake,Alta Ski Area,Skier,1,Details,"40.586506674316, -111.626428069460",1976-01-06,1976,1,40.586506674316, -111.626428069460
1973-12-29,91,12/29/1973,Salt Lake,Canyons Ski Resort,Skier,1,Details,,1973-12-29,1973,12,nan,nan
1970-01-20,92,01/20/1970,Salt Lake,Peruvian Ridge,Skier,1,Details,"40.572657369383, -111.651414858090",1970-01-20,1970,1,40.572657369383, -111.651414858090
1968-02-19,93,02/19/1968,Provo,Rock Canyon,Natural,1,Details,"40.226133346151, -111.614400373680",1968-02-19,1968,2,40.226133346151, -111.614400373680
1967-02-12,94,02/12/1967,Salt Lake,Pharoahs Glen,Hiker,2,Details,"40.708361000000, -111.759796000000",1967-02-12,1967,2,40.708361000000, -111.759796000000
1965-12-31,95,12/31/1965,Salt Lake,Park City Ski Resort,Skier,1,Details,"40.631302096436, -111.516682134840",1965-12-31,1965,12,40.631302096436, -111.516682134840
1964-03-29,96,03/29/1964,Ogden,Taylor Canyon,Skier,1,Details,"41.204951129311, -111.900259481650",1964-03-29,1964,3,41.204951129311, -111.900259481650
1958-03-09,97,03/9/1958,Ogden,Snowbasin,Skier,1,Details,"41.205508551921, -111.875901000480",1958-03-09,1958,3,41.205508551921, -111.875901000480
